timestamp,system_time,wheel_x,wheel_y,wheel_yaw_deg,wheel_vx,wheel_vy,wheel_wz,ekf_x,ekf_y,ekf_yaw_deg,ekf_vx,ekf_vy,ekf_wz,imu_yaw_deg,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,cmd_stage2_linear,cmd_stage2_angular,cmd_lane_linear,cmd_lane_angular,cmd_final_linear,cmd_final_angular,front_dist,front_angle_deg,left_dist,right_dist,phase,mission_state,feedback,avoid_state,avoid_leg_m,avoid_turn_deg,plan_index,seg_type,seg_desc
1780714866.424605,1780714866.424712,0.39708787202835083,0.2873924672603607,68.09381681725225,0.08500000089406967,0.0,0.24199999868869781,0.3840315864543652,0.2694893722037375,69.68307889151063,0.08220145292624796,0.0,0.16100447348487554,70.22368188958667,-0.055029191076755524,-0.019140588119626045,9.826299667358398,0.006128120236098766,0.006394560448825359,0.19823136925697327,0.08,0.8,0.0,0.0,0.08,0.8,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714867.424655,1780714867.424764,0.41988086700439453,0.3717287480831146,79.87176770126555,0.08500000089406967,0.0,0.24199999868869781,0.4054221868959029,0.3491855070082809,81.08948960603624,0.09010008330934224,0.0,0.24199991769310844,81.7359081905507,-0.12082496285438538,0.10168437659740448,9.829888343811035,0.01332200039178133,-0.00905896071344614,0.20649100840091705,0.08,0.5522539090199396,0.0,0.0,0.08,0.5522539090199396,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714868.424648,1780714868.424754,0.425969660282135,0.46103814244270325,92.11462907151412,0.07100000232458115,0.0,0.24199999868869781,0.4101861411059161,0.4347362515548486,92.84037844534849,0.07540901885904322,0.0,0.24199999867902794,93.35406713652026,-0.11484352499246597,0.057421762496232986,9.846635818481445,0.006661000195890665,-0.0021315200719982386,0.19769848883152008,0.08,0.18,0.0,0.0,0.08,0.18,inf,0.0,inf,inf,0,rect_enter_align,惯导参数测试当前位置: 通道后起点入口对齐，开始左转 95 度,,0.0,0.0,-1,,
1780714869.424531,1780714869.424631,0.41299039125442505,0.5951668620109558,96.73002012012351,0.19599999487400055,0.0,0.0,0.3984411179635491,0.5515127231753666,96.13078653023926,0.2005698231660351,0.0,0.0799803611569853,95.98441768508903,0.24643507599830627,0.0753660649061203,9.667193412780762,0.0007993200561031699,-0.010391159914433956,-0.028775520622730255,0.24,-0.08375053405761754,0.0,0.0,0.24,-0.08375053405761754,inf,0.0,inf,inf,0,rect_first_leg,惯导参数测试当前位置: 底边向左 1.10m 段，目标直行 1.10m,,0.0,0.0,-1,,
1780714870.424629,1780714870.424736,0.38889598846435547,0.8380191922187805,95.11614204189789,0.24799999594688416,0.0,0.0,0.3790256489802638,0.7862469257189706,93.23982954692444,0.2495246996356645,0.0,-3.4959530029014807e-06,93.18968426099235,0.07895492762327194,-0.008374007418751717,9.401618003845215,0.004795920103788376,-0.003463720204308629,-0.011456920765340328,0.24,-0.03868255615234446,0.0,0.0,0.24,-0.03868255615234446,inf,0.0,inf,inf,0,rect_first_leg,惯导参数测试当前位置: 底边向左 1.10m 段，目标直行 1.10m,,0.0,0.0,-1,,
1780714871.424642,1780714871.424751,0.36654993891716003,1.108087420463562,94.65946193361249,0.24199999868869781,0.0,0.07999999821186066,0.36786625486757285,1.0419776474040405,91.53996915477867,0.26343580630843877,0.0,-8.000564977184155e-08,91.58423848249784,0.06579577177762985,0.04904775694012642,9.864580154418945,-0.015986399725079536,-0.0002664400089997798,-0.010391159914433956,0.24,-0.019531059265137075,0.0,0.0,0.24,-0.019531059265137075,inf,0.0,inf,inf,0,rect_first_leg,惯导参数测试当前位置: 底边向左 1.10m 段，目标直行 1.10m,,0.0,0.0,-1,,
1780714872.424679,1780714872.424787,0.3456166386604309,1.3767998218536377,94.66070502804143,0.24799999594688416,0.0,0.0,0.3623344571834422,1.296203909944166,90.94155220267459,0.26363124093487267,0.0,-2.8677986898470453e-06,90.93168129268437,-0.08732893317937851,-0.16748014092445374,9.996171951293945,0.030640600249171257,0.009325399994850159,-0.004795920103788376,0.24,-0.025964355468750356,0.0,0.0,0.24,-0.025964355468750356,inf,0.0,inf,inf,0,rect_first_leg,惯导参数测试当前位置: 底边向左 1.10m 段，目标直行 1.10m,,0.0,0.0,-1,,
1780714873.424651,1780714873.424753,0.32822850346565247,1.6354306936264038,91.8938363764043,0.17599999904632568,0.0,-0.40400001406669617,0.36073447647632556,1.5464615541644433,89.02199069989362,0.2007338093143929,0.0,-0.24199991768161272,87.87645541576524,-0.21054646372795105,0.07297348976135254,9.868169784545898,-0.006394560448825359,-0.0015986401122063398,-0.3503686189651489,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
1780714874.424542,1780714874.424639,0.3375796973705292,1.7489889860153198,76.17117120895264,0.09099999815225601,0.0,-0.16099999845027924,0.37845562125895177,1.6599063446657585,71.7250797844326,0.09010603292279708,0.0,-0.24200127565139654,71.02735359215744,-0.0945066511631012,-0.041870035231113434,9.860991477966309,-0.006927440408617258,0.0005328800179995596,-0.2437926083803177,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
1780714875.424636,1780714875.424741,0.3658563196659088,1.8354958295822144,64.39531036282536,0.08500000089406967,0.0,-0.07999999821186066,0.4144482180170972,1.738630574466134,58.09829897505291,0.08947864984847052,0.0,-0.2419999177172469,57.320127862811525,-0.09091779589653015,-0.055029191076755524,9.795195579528809,-0.010391159914433956,0.0015986401122063398,-0.24672344326972961,0.08,-0.8,0.0,0.0,0.08,-0.8,inf,0.0,inf,inf,0,rect_corner_1,惯导参数测试当前位置: 左下拐角，开始右转 80 度,,0.0,0.0,-1,,
